,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
5,23,Jarrett Culver,SG,6-6,195,1999-02-20,US,R,Texas Tech
6,5,Gorgui Dieng,C,6-10,252,1990-01-18,SN,6,Louisville
7,12,Jacob Evans,SG,6-4,210,1997-06-18,US,1,Cincinnati
8,12,Treveon Graham,SF,6-5,219,1993-10-28,US,3,VCU
9,41,Juan HernangÃ³mez,PF,6-9,214,1995-09-28,ES,3,
10,16,James Johnson,C,6-7,240,1987-02-20,US,10,Wake Forest
11,10,Jake Layman,SF,6-8,209,1994-03-07,US,3,Maryland
12,30,Kelan Martin,SF,6-5,230,1995-08-03,US,R,Butler
13,6,Jordan McLaughlin,PG,5-11,185,1996-04-09,US,R,USC
14,13,Shabazz Napier,PG,6-0,175,1991-07-14,US,5,UConn
15,4,Jaylen Nowell,SG,6-4,201,1999-07-09,US,R,Washington
16,20,Josh Okogie,SG,6-4,213,1998-09-01,NG,1,Georgia Tech
17,11,Naz Reid,C,6-9,264,1999-08-26,US,R,LSU
18,0,D'Angelo Russell,PG,6-4,193,1996-02-23,US,4,Ohio State
19,0,Jeff Teague,PG,6-3,195,1988-06-10,US,10,Wake Forest
20,32,Karl-Anthony Towns,C,6-11,248,1995-11-15,US,4,Kentucky
21,3,Jarred Vanderbilt,PF,6-9,214,1999-04-03,US,1,Kentucky
22,1,Noah Vonleh,C,6-10,257,1995-08-24,US,5,Indiana
23,22,Andrew Wiggins,SF,6-7,197,1995-02-23,CA,5,Kansas
0,3,Grayson Allen,SG,6-4,198,1995-10-08,US,1,Duke
1,1,Kyle Anderson,SF,6-9,230,1993-09-20,US,5,UCLA
2,2,Jordan Bell,C,6-8,216,1995-01-07,US,2,Oregon
3,24,Dillon Brooks,SG,6-7,225,1996-01-22,CA,2,Oregon
4,5,Bruno Caboclo,C,6-9,218,1995-09-21,BR,5,
5,15,Brandon Clarke,PF,6-8,215,1996-09-19,CA,R,"San Jose State, Gonzaga"
6,99,Jae Crowder,SF,6-6,235,1990-07-06,US,7,Marquette
7,14,Gorgui Dieng,C,6-10,252,1990-01-18,SN,6,Louisville
8,23,Marko Guduric,SG,6-6,201,1995-03-08,RS,R,
9,5,Dusty Hannahs,SG,6-3,210,1993-09-02,US,1,"Texas Tech, Arkansas"
10,44,Solomon Hill,PF,6-6,226,1991-03-18,US,6,Arizona
11,13,Jaren Jackson,C,6-11,242,1999-09-15,US,1,Michigan State
12,20,Josh Jackson,SF,6-8,207,1997-02-10,US,2,Kansas
13,21,Tyus Jones,PG,6-0,196,1996-05-10,US,4,Duke
14,46,John Konchar,SG,6-5,210,1996-03-22,US,R,Purdue-Fort Wayne
15,0,De'Anthony Melton,PG,6-2,200,1998-05-28,US,1,USC
16,12,Ja Morant,PG,6-3,174,1999-08-10,US,R,Murray State
17,44,Anthony Tolliver,PF,6-8,240,1985-06-01,US,11,Creighton
18,19,Jarrod Uthoff,PF,6-9,221,1993-05-19,US,1,Iowa
19,17,Jonas ValanÄiÅ«nas,C,6-11,265,1992-05-06,LT,7,
20,18,Yuta Watanabe,SF,6-8,215,1994-10-13,JP,1,George Washington
