,Year,Tm,Player,Age,G,MP,PER
2743,2009,SAC,Quincy Douby,24,20,227,8.0
2744,2009,CHA,Dwayne Jones,25,6,52,8.0
2745,2009,CHI,Anthony Roberson,25,6,23,8.0
2746,2010,NJN,Bobby Simmons,29,23,395,8.0
2747,2010,CHA,Vladimir Radmanovic,29,8,133,8.0
2748,2011,ATL,Josh Powell,28,54,653,8.0
2749,2012,MIN,Wesley Johnson,24,65,1469,8.0
2750,2012,NOH,Donald Sloan,24,3,41,8.0
2751,2013,SAS,Stephen Jackson,34,55,1075,8.0
2752,2013,LAL,Chris Duhon,30,46,820,8.0
2753,2014,CHI,Tony Snell,22,77,1231,8.0
2754,2014,DET,Luigi Datome,26,34,238,8.0
2755,2014,MIA,Joel Anthony,31,12,37,8.0
2756,2015,MIA,Henry Walker,27,24,628,8.0
2757,2015,MIA,Zoran Dragic,25,10,62,8.0
2758,2016,LAC,Lance Stephenson,25,7,148,8.0
2759,2016,LAC,Austin Rivers,23,7,148,8.0
2760,2016,GSW,Shaun Livingston,30,8,147,8.0
2761,2016,LAC,Paul Pierce,38,7,147,8.0
2762,2016,UTA,Raul Neto,23,6,107,8.0
2763,1978,NYK,Phil Jackson,32,63,654,8.1
2764,1978,DEN,Ralph Simpson,28,32,584,8.1
2765,1981,KCK,John Lambert,28,43,475,8.1
2766,1982,MIL,Harvey Catchings,30,80,1603,8.1
2767,1982,KCK,John Lambert,29,42,493,8.1
2768,1982,BOS,Eric Fernsten,28,43,202,8.1
2769,1983,PHI,Earl Cureton,25,73,987,8.1
2770,1984,PHI,Marc Iavaroni,27,78,1532,8.1
2771,1984,ATL,Mark Landsberger,28,35,335,8.1
2772,1987,DEN,Otis Smith,23,28,168,8.1
2773,1987,WSB,Anthony Jones,24,16,114,8.1
2774,1988,PHI,Steve Colter,25,12,152,8.1
2775,1989,IND,Greg Dreiling,26,53,396,8.1
2776,1989,UTA,Jose Ortiz,25,51,327,8.1
2777,1989,HOU,Chuck Nevitt,29,43,228,8.1
2778,1989,LAC,Dave Popson,24,10,68,8.1
2779,1990,SAS,Johnny Moore,31,53,516,8.1
2780,1990,SAC,Michael Jackson,25,17,58,8.1
2781,1990,ATL,Duane Ferrell,24,14,29,8.1
2782,1991,SAC,Bob Hansen,30,36,811,8.1
2783,1991,IND,Jawann Oldham,33,4,19,8.1
2784,1992,ORL,Otis Smith,28,55,877,8.1
2785,1992,HOU,Larry Smith,34,45,800,8.1
2786,1992,CHH,Greg Grant,25,13,57,8.1
2787,1993,POR,Dave Johnson,22,42,356,8.1
2788,1994,CLE,Tim Kempton,30,4,33,8.1
2789,1995,DAL,Terry Davis,27,46,580,8.1
2790,1995,CHH,David Wingate,31,52,515,8.1
2791,1996,SEA,David Wingate,32,60,695,8.1
2792,1996,MIA,Danny Schayes,36,32,399,8.1
2793,1996,HOU,Charles Jones,38,46,297,8.1
2794,1997,DEN,Sarunas Marciulionis,32,17,255,8.1
2795,1997,LAC,Dwayne Schintzius,28,15,116,8.1
2796,1998,PHI,Aaron McKie,25,57,1341,8.1
2797,1998,SAS,Carl Herrera,31,58,516,8.1
2798,1998,NJN,Kevin Edwards,32,27,352,8.1
2799,1998,POR,Carlos Rogers,26,3,25,8.1
2800,1999,MIA,Duane Causwell,30,19,137,8.1
2801,2001,MIA,Bruce Bowen,29,82,2685,8.1
2802,2001,PHI,Vernon Maxwell,35,24,375,8.1
2803,2001,WAS,Mike Smith,24,17,180,8.1
2804,2001,TOR,Eric Montross,29,12,81,8.1
2805,2004,MIN,Keith McLeod,24,33,391,8.1
2806,2004,HOU,Charles Oakley,40,7,25,8.1
2807,2005,MIL,Erick Strickland,31,62,1014,8.1
2808,2005,PHO,Bo Outlaw,33,39,214,8.1
2809,2006,CLE,Eric Snow,32,82,2351,8.1
2810,2006,WAS,Michael Ruffin,29,76,1010,8.1
2811,2006,SAC,Corliss Williamson,32,37,362,8.1
2812,2007,NJN,Antoine Wright,22,63,1137,8.1
2813,2008,DEN,Yakhouba Diawara,25,54,542,8.1
2814,2008,CLE,Shannon Brown,22,15,218,8.1
2815,2009,MIN,Brian Cardinal,31,64,909,8.1
2816,2010,NYK,Marcus Landry,24,17,108,8.1
2817,2011,ORL,Quentin Richardson,30,57,955,8.1
2818,2012,ORL,Earl Clark,24,45,559,8.1
2819,2012,BOS,Marquis Daniels,31,38,484,8.1
2820,2013,ATL,DeShawn Stevenson,31,56,1158,8.1
2821,2013,PHI,Royal Ivey,31,53,698,8.1
2822,2013,LAL,Darius Morris,22,48,683,8.1
2823,2013,MIA,James Jones,32,38,221,8.1
2824,2014,ORL,Jason Maxiell,30,34,488,8.1
2825,2014,BOS,Joel Anthony,31,21,149,8.1
2826,2015,SAC,Ramon Sessions,28,36,642,8.1
2827,2016,TOR,Terrence Ross,24,7,122,8.1
2828,2016,IND,Chase Budinger,27,8,122,8.1
2829,1978,DEN,Tom LaGarde,22,77,868,8.2
2830,1978,BOS,Don Chaney,31,42,702,8.2
2831,1978,NJN,Bird Averitt,25,21,409,8.2
2832,1979,NYK,John Rudd,23,58,723,8.2
2833,1980,SEA,Paul Silas,36,82,1595,8.2
2834,1980,POR,Lionel Hollins,26,20,413,8.2
2835,1980,SDC,Marvin Barnes,27,20,287,8.2
2836,1981,CLE,Don Ford,28,64,996,8.2
2837,1981,NJN,Rory Sparrow,22,15,212,8.2
2838,1981,CHI,Ronnie Lester,22,8,83,8.2
2839,1982,SAS,Ed Rains,25,49,637,8.2
2840,1982,WSB,Brad Holland,25,13,185,8.2
2841,1983,IND,John Duren,24,82,1433,8.2
2842,1983,CLE,Steve Hayes,27,65,1058,8.2
2843,1983,NJN,Len Elmore,30,74,975,8.2
2844,1983,SAS,Ed Rains,26,34,292,8.2
2845,1984,HOU,Craig Ehlo,22,7,63,8.2
2846,1985,LAC,Lancaster Gordon,22,63,682,8.2
2847,1985,UTA,J.J. Anderson,24,44,457,8.2
2848,1986,SAS,Alfredrick Hughes,23,68,866,8.2
2849,1986,SAS,Marc Iavaroni,29,42,669,8.2
2850,1986,WSB,Perry Moss,27,12,160,8.2
2851,1987,PHI,Mark McNamara,27,11,113,8.2
2852,1988,DEN,Bill Hanzlik,30,77,1334,8.2
2853,1988,MIL,Jay Humphries,25,18,252,8.2
2854,1988,MIL,Dave Hoppen,23,3,35,8.2
2855,1988,IND,Brian Rowsom,22,4,16,8.2
2856,1989,MIL,Paul Mokeski,32,74,690,8.2
2857,1989,BOS,Mark Acres,26,62,632,8.2
2858,1989,SAS,Scott Roth,25,47,464,8.2
2859,1989,SAC,Randy Wittman,29,31,416,8.2
2860,1989,DET,John Long,32,24,152,8.2
2861,1989,DET,Darryl Dawkins,32,14,48,8.2
2862,1990,NJN,Jack Haley,26,56,1026,8.2
2863,1990,MIL,Tony Brown,29,61,635,8.2
2864,1990,WSB,Doug Roth,22,42,412,8.2
2865,1990,IND,Dyron Nix,22,20,109,8.2
2866,1991,HOU,Dave Feitl,28,52,372,8.2
2867,1991,DEN,Craig Neal,26,10,125,8.2
2868,1993,MIN,Felton Spencer,25,71,1296,8.2
2869,1993,LAL,Alex Blackwell,22,27,109,8.2
2870,1993,SAC,Stan Kimbrough,26,3,15,8.2
2871,1994,WSB,Kevin Duckworth,29,69,1485,8.2
2872,1994,MIA,Keith Askins,26,37,319,8.2
2873,1995,NJN,Dwayne Schintzius,26,43,318,8.2
2874,1995,HOU,Tracy Murray,23,25,203,8.2
2875,1996,LAC,Antonio Harvey,25,37,411,8.2
2876,1996,WSB,Michael Curry,27,5,34,8.2
2877,1997,DEN,Darvin Ham,23,35,313,8.2
2878,1997,VAN,Moochie Norris,23,8,89,8.2
2879,1998,BOS,Roy Rogers,24,9,37,8.2
2880,1999,DEN,Carl Herrera,32,24,265,8.2
2881,1999,MIN,James Robinson,28,17,226,8.2
2882,2000,DET,Jud Buechler,31,58,657,8.2
2883,2001,BOS,Randy Brown,32,54,1238,8.2
2884,2001,MIN,Sam Mitchell,37,82,983,8.2
2885,2001,NJN,Mark Strickland,30,9,202,8.2
2886,2002,SAS,Bruce Bowen,30,59,1699,8.2
2887,2002,UTA,DeShawn Stevenson,20,67,1134,8.2
2888,2002,PHO,Milt Palacio,23,28,272,8.2
2889,2003,CLE,Milt Palacio,24,80,1976,8.2
2890,2003,UTA,DeShawn Stevenson,21,61,760,8.2
2891,2003,UTA,Jarron Collins,24,22,421,8.2
2892,2003,SEA,Vitaly Potapenko,27,26,403,8.2
2893,2003,TOR,Jermaine Jackson,26,24,286,8.2
2894,2004,SAS,Bruce Bowen,32,82,2624,8.2
2895,2004,MIN,Trenton Hassell,24,81,2264,8.2
2896,2004,MIA,Tyrone Hill,35,5,38,8.2
2897,2005,HOU,Maurice Taylor,28,38,905,8.2
2898,2005,NJN,Billy Thomas,29,25,356,8.2
2899,2005,PHO,Jackson Vroman,23,10,57,8.2
2900,2005,WAS,Peter John Ramos,19,6,20,8.2
2901,2006,MIL,Jermaine Jackson,29,30,202,8.2
2902,2006,SAC,Vitaly Potapenko,30,9,32,8.2
2903,2006,CHI,Randy Holcomb,26,4,11,8.2
2904,2006,PHI,Zendon Hamilton,30,1,3,8.2
2905,2007,CHI,Andre Barrett,24,6,29,8.2
2906,2008,GSW,Marco Belinelli,21,33,241,8.2
2907,2009,POR,Jerryd Bayless,20,53,655,8.2
2908,2010,CLE,Jawad Williams,26,54,742,8.2
2909,2010,LAC,Bobby Brown,25,23,191,8.2
2910,2011,UTA,Raja Bell,34,68,2097,8.2
2911,2011,OKC,Royal Ivey,29,25,155,8.2
2912,2011,MEM,Jason Williams,35,11,124,8.2
2913,2012,NYK,Bill Walker,24,32,620,8.2
2914,2012,PHI,Sam Young,26,14,135,8.2
2915,2013,OKC,Kendrick Perkins,28,78,1954,8.2
2916,2013,TOR,Linas Kleiza,28,20,376,8.2
2917,2014,MEM,Tayshaun Prince,33,76,1948,8.2
2918,2014,MIA,Roger Mason,33,25,260,8.2
2919,2014,PHI,Lorenzo Brown,23,26,224,8.2
2920,2015,IND,Damjan Rudez,28,68,1047,8.2
2921,2015,POR,Arron Afflalo,29,25,752,8.2
2922,2015,CHO,Jeffery Taylor,25,29,430,8.2
2923,2015,SAS,Kyle Anderson,21,33,358,8.2
2924,2015,PHI,Malcolm Thomas,26,17,194,8.2
2925,2015,MIN,Glenn Robinson III,21,25,108,8.2
2926,2016,DEN,Emmanuel Mudiay,19,7,211,8.2
2927,2016,MIN,Kevin Garnett,39,6,93,8.2
2928,2016,OKC,Anthony Morrow,30,6,68,8.2
2929,1978,NJN,Bob Carrington,24,37,1032,8.3
2930,1979,NOJ,Tommie Green,22,59,809,8.3
2931,1980,LAL,Don Ford,27,52,580,8.3
2932,1981,DEN,Carl Nicks,22,27,493,8.3
2933,1982,SAS,John Lambert,29,21,271,8.3
2934,1985,SEA,Danny Vranes,26,76,2163,8.3
2935,1985,NJN,George Johnson,36,65,800,8.3
2936,1986,IND,Dwayne McClain,22,45,461,8.3
2937,1987,PHI,Jim Lampley,26,1,16,8.3
2938,1988,DEN,T.R. Dunn,32,82,1534,8.3
2939,1988,PHO,James Bailey,30,65,869,8.3
2940,1988,PHI,Bob Thornton,25,41,508,8.3
2941,1988,GSW,Chris Washburn,22,8,86,8.3
2942,1989,ATL,Ray Tolbert,30,50,341,8.3
2943,1990,ORL,Mark Acres,27,80,1691,8.3
2944,1990,DEN,Eddie Hughes,29,60,892,8.3
2945,1990,MIA,Scott Haffner,23,43,559,8.3
2946,1991,NYK,Jerrod Mustaf,21,62,825,8.3
2947,1991,POR,Wayne Cooper,34,67,746,8.3
2948,1991,WSB,Larry Robinson,23,12,255,8.3
2949,1992,DEN,Mark Macon,22,76,2304,8.3
2950,1993,DAL,Donald Hodge,23,79,1267,8.3
2951,1993,CHI,Bill Cartwright,35,63,1253,8.3
2952,1993,DEN,Scott Hastings,32,76,670,8.3
2953,1993,CHH,Tom Hammonds,25,19,142,8.3
2954,1993,WSB,Greg Foster,24,10,93,8.3
2955,1994,MIL,Brad Lohaus,29,67,962,8.3
2956,1994,CHI,John Paxson,33,27,343,8.3
2957,1995,MIN,Andres Guibert,26,17,167,8.3
2958,1995,MIN,Askia Jones,23,11,139,8.3
2959,1997,HOU,Randy Livingston,21,64,981,8.3
2960,1997,DAL,Khalid Reeves,24,13,384,8.3
2961,1997,SAC,Kevin Salvadori,26,23,154,8.3
2962,1998,SAS,Chuck Person,33,61,1455,8.3
2963,1999,CHI,Corey Benjamin,20,31,320,8.3
2964,1999,VAN,Terry Dehere,27,22,271,8.3
2965,1999,SAC,Oliver Miller,28,4,35,8.3
2966,2000,LAL,John Salley,35,45,303,8.3
2967,2001,IND,Derrick McKey,34,66,987,8.3
2968,2001,VAN,Isaac Austin,31,52,845,8.3
2969,2001,VAN,Kevin Edwards,35,46,634,8.3
2970,2002,DAL,Johnny Newman,38,47,724,8.3
2971,2003,ORL,Jeryl Sasser,23,75,1025,8.3
2972,2003,ORL,Pat Burke,29,62,783,8.3
2973,2003,WAS,Charles Oakley,39,42,514,8.3
2974,2003,NYK,Travis Knight,28,32,287,8.3
2975,2004,IND,Scot Pollard,28,61,678,8.3
2976,2004,HOU,Bostjan Nachbar,23,45,516,8.3
2977,2004,DET,Darvin Ham,30,54,484,8.3
2978,2005,MIN,Ervin Johnson,37,46,410,8.3
2979,2005,NOH,Maciej Lampe,19,21,261,8.3
2980,2005,ORL,Michael Bradley,25,8,55,8.3
2981,2006,NOK,Arvydas Macijauskas,26,19,135,8.3
2982,2007,UTA,Rafael Araujo,26,28,248,8.3
2983,2008,MIN,Corey Brewer,21,79,1803,8.3
2984,2008,NJN,Antoine Wright,23,41,1056,8.3
2985,2008,PHO,Eric Piatkowski,37,16,113,8.3
2986,2008,BOS,Gabe Pruitt,21,15,95,8.3
2987,2009,OKC,Damien Wilkins,29,41,636,8.3
2988,2010,DET,Chucky Atkins,35,40,644,8.3
2989,2010,LAC,Steve Novak,26,54,362,8.3
2990,2011,ORL,Mickael Pietrus,28,19,418,8.3
2991,2011,DEN,Melvin Ely,32,30,366,8.3
2992,2012,WAS,Chris Singleton,22,66,1431,8.3
2993,2012,MIN,Anthony Tolliver,26,51,882,8.3
2994,2012,UTA,Raja Bell,35,34,796,8.3
2995,2012,LAL,Devin Ebanks,22,24,396,8.3
2996,2013,MIN,Brandon Roy,28,5,122,8.3
2997,2013,DAL,Chris Douglas-Roberts,26,6,63,8.3
2998,2014,DAL,Shane Larkin,21,48,489,8.3
2999,2014,SAC,John Salmons,34,18,445,8.3
3000,2015,POR,Will Barton,24,30,300,8.3
3001,2015,UTA,Ian Clark,23,23,161,8.3
3002,2015,LAC,Jordan Hamilton,24,14,122,8.3
3003,2015,PHO,Marcus Thornton,27,9,81,8.3
3004,1978,GSW,Ricky Marsh,23,60,851,8.4
3005,1979,NJN,Ralph Simpson,29,32,527,8.4
3006,1979,CHI,Scott May,24,37,403,8.4
3007,1979,SDC,Jerome Whitehead,22,31,152,8.4
3008,1981,SEA,Armond Hill,27,51,1114,8.4
3009,1981,POR,Mike Harper,23,55,461,8.4
3010,1981,IND,Jerry Sichting,24,47,450,8.4
3011,1982,HOU,Calvin Garrett,25,51,858,8.4
3012,1982,CLE,Brad Branson,23,10,176,8.4
3013,1983,WSB,Kevin Porter,32,11,210,8.4
3014,1984,WSB,DeWayne Scales,25,2,13,8.4
3015,1986,NJN,Jeff Turner,23,53,650,8.4
3016,1986,LAC,Jay Murphy,23,14,100,8.4
3017,1986,MIL,Bryan Warrick,26,5,27,8.4
3018,1987,NJN,Pace Mannion,26,23,284,8.4
3019,1989,UTA,Mike Brown,25,66,1051,8.4
3020,1989,UTA,Jim Farmer,24,37,412,8.4
3021,1990,SAC,Randy Allen,25,63,746,8.4
3022,1991,ATL,Jon Koncak,27,77,1931,8.4
3023,1991,PHI,Manute Bol,28,82,1522,8.4
3024,1991,IND,Mike Sanders,30,80,1357,8.4
3025,1991,MIA,Alec Kessler,24,78,1259,8.4
3026,1991,CHH,Eric Leckner,24,40,744,8.4
3027,1991,UTA,Andy Toolson,25,47,470,8.4
3028,1992,DET,William Bedford,28,32,363,8.4
3029,1992,UTA,Corey Crowder,22,51,328,8.4
3030,1993,NJN,Rafael Addison,28,68,1164,8.4
3031,1993,MIN,Lance Blanks,26,61,642,8.4
3032,1993,DEN,Kevin Brooks,23,55,571,8.4
3033,1993,MIN,Brad Sellers,30,54,533,8.4
3034,1993,GSW,Paul Pressey,34,18,268,8.4
3035,1994,WSB,Doug Overton,24,61,749,8.4
3036,1994,SAC,Bobby Hurley,22,19,499,8.4
3037,1995,NYK,Monty Williams,23,41,503,8.4
3038,1996,DEN,Reggie Williams,31,52,817,8.4
3039,1996,TOR,Dan O'Sullivan,27,5,139,8.4
3040,1996,DET,Steve Bardo,27,9,123,8.4
3041,1996,CHH,Gerald Glass,28,5,15,8.4
3042,1997,UTA,Greg Foster,28,79,920,8.4
3043,1999,NJN,Elliot Perry,29,30,243,8.4
3044,2000,DAL,Dennis Rodman,38,12,389,8.4
3045,2001,ATL,DerMarr Johnson,20,78,1313,8.4
3046,2001,NYK,Erick Strickland,27,28,421,8.4
3047,2002,ATL,Hanno Mottola,25,82,1371,8.4
3048,2002,CLE,Jeff Trepagnier,22,12,77,8.4
3049,2003,MIN,Igor Rakocevic,24,42,244,8.4
3050,2003,MIL,Jamal Sampson,19,5,8,8.4
3051,2004,PHO,Zarko Cabarkapa,22,49,570,8.4
3052,2004,MEM,Theron Smith,23,20,178,8.4
3053,2005,PHI,Aaron McKie,32,68,1118,8.4
3054,2005,PHO,Casey Jacobsen,23,40,768,8.4
3055,2005,WAS,Steve Blake,24,44,648,8.4
3056,2005,NJN,Jabari Smith,27,45,648,8.4
3057,2005,DET,Elden Campbell,36,30,340,8.4
3058,2005,NOH,Alex Garcia,24,8,146,8.4
3059,2006,LAL,Sasha Vujacic,21,82,1449,8.4
3060,2006,ATL,Royal Ivey,24,73,978,8.4
3061,2006,PHI,Michael Bradley,26,46,367,8.4
3062,2007,PHI,Kevin Ollie,34,53,919,8.4
3063,2008,CLE,Donyell Marshall,34,11,156,8.4
3064,2009,MIA,James Jones,28,40,630,8.4
3065,2010,PHI,Jason Kapono,28,57,976,8.4
3066,2010,MIL,Jodie Meeks,22,41,486,8.4
3067,2010,SAC,Hilton Armstrong,25,6,56,8.4
3068,2011,WAS,Kevin Seraphin,21,58,635,8.4
3069,2011,MIA,Juwan Howard,37,57,592,8.4
3070,2011,LAC,Jamario Moon,30,19,278,8.4
3071,2012,ORL,Chris Duhon,29,63,1226,8.4
3072,2012,PHO,Ronnie Price,28,36,517,8.4
3073,2012,NJN,Mehmet Okur,32,17,454,8.4
3074,2012,LAL,Andrew Goudelock,23,40,419,8.4
3075,2013,ATL,Anthony Tolliver,27,62,963,8.4
3076,2013,ORL,DeQuan Jones,22,63,803,8.4
3077,2013,PHI,Jeremy Pargo,26,14,208,8.4
3078,2014,BRK,Marquis Teague,20,21,201,8.4
3079,2014,NYK,Shannon Brown,28,19,148,8.4
3080,2015,ORL,Maurice Harkless,21,45,674,8.4
3081,2015,NYK,Cleanthony Early,23,39,647,8.4
3082,1979,LAL,Brad Davis,23,5,65,8.5
3083,1980,SDC,Sidney Wicks,30,71,2146,8.5
3084,1981,ATL,Tom Burleson,28,31,363,8.5
3085,1981,CLE,Walter Jordan,24,30,207,8.5
3086,1982,SAS,Paul Griffin,28,23,459,8.5
3087,1984,GSW,Pace Mannion,23,57,469,8.5
3088,1985,UTA,Rich Kelley,31,77,1276,8.5
3089,1985,IND,Granville Waiters,24,62,703,8.5
3090,1985,CHI,Charles Jones,27,3,29,8.5
3091,1986,CLE,Lonnie Shelton,30,44,682,8.5
3092,1986,GSW,Guy Williams,25,5,25,8.5
3093,1987,NYK,Jawann Oldham,29,44,776,8.5
3094,1987,BOS,Conner Henry,23,36,231,8.5
3095,1988,PHI,David Wingate,24,61,1419,8.5
3096,1989,MIA,Kelvin Upshaw,26,9,144,8.5
3097,1990,UTA,Bob Hansen,29,81,2174,8.5
3098,1990,GSW,Marques Johnson,33,10,99,8.5
3099,1991,UTA,Walter Palmer,22,28,85,8.5
3100,1993,PHI,Manute Bol,30,58,855,8.5
3101,1993,ORL,Terry Catledge,29,21,262,8.5
3102,1994,LAC,Stanley Roberts,23,14,350,8.5
3103,1995,MIA,Harold Miner,23,45,871,8.5
3104,1995,PHI,B.J. Tyler,23,55,809,8.5
3105,1995,DAL,Donald Hodge,25,54,633,8.5
3106,1996,SAC,Corliss Williamson,22,53,609,8.5
3107,1997,MIN,Doug West,29,68,1920,8.5
3108,1997,HOU,Sedale Threatt,35,21,334,8.5
3109,1997,CHH,Donald Royal,30,25,320,8.5
3110,1997,CLE,Carl Thomas,27,19,77,8.5
3111,1998,GSW,Felton Spencer,30,68,813,8.5
3112,1998,MIL,Andrew Lang,31,57,692,8.5
3113,1999,SAS,Andrew Gaze,33,19,58,8.5
3114,2000,DET,Loy Vaught,31,43,292,8.5
3115,2000,TOR,Haywoode Workman,34,13,102,8.5
3116,2000,PHO,Ben Davis,27,5,22,8.5
3117,2001,CHI,Jamal Crawford,20,61,1050,8.5
3118,2001,LAC,Tyrone Nesby,25,14,333,8.5
3119,2002,NYK,Howard Eisley,29,39,609,8.5
3120,2002,HOU,Dan Langhi,24,34,434,8.5
3121,2004,MIN,Ervin Johnson,36,66,965,8.5
3122,2005,SAS,Tony Massenburg,37,61,699,8.5
3123,2006,NYK,Maurice Taylor,29,67,1210,8.5
3124,2006,HOU,Jon Barry,36,20,342,8.5
3125,2006,SEA,Danny Fortson,29,23,276,8.5
3126,2006,CHI,Tim Thomas,28,3,32,8.5
3127,2007,CHI,Thabo Sefolosha,22,71,868,8.5
3128,2007,CHA,Ryan Hollins,22,27,185,8.5
3129,2007,SEA,Mouhamed Sene,20,28,169,8.5
3130,2007,CLE,Scot Pollard,31,24,109,8.5
3131,2008,NYK,Quentin Richardson,27,65,1841,8.5
3132,2008,NJN,Nenad Krstic,24,45,812,8.5
3133,2008,SAS,Francisco Elson,31,41,534,8.5
3134,2008,DEN,Bobby Jones,24,25,222,8.5
3135,2008,CHI,Adrian Griffin,33,22,222,8.5
3136,2009,UTA,Ronnie Price,25,52,738,8.5
3137,2009,PHO,Raja Bell,32,22,712,8.5
3138,2009,IND,Stephen Graham,26,52,684,8.5
3139,2009,PHO,Sean Singletary,23,13,122,8.5
3140,2010,MEM,DeMarre Carroll,23,71,795,8.5
3141,2010,LAC,Ricky Davis,30,36,499,8.5
3142,2010,PHO,Earl Clark,22,51,383,8.5
3143,2010,NOH,Jason Hart,31,4,17,8.5
3144,2011,NOH,Quincy Pondexter,22,66,734,8.5
3145,2011,IND,Solomon Jones,26,39,528,8.5
3146,2011,SAS,James Anderson,21,26,286,8.5
3147,2011,ORL,Jason Williams,35,16,171,8.5
3148,2012,LAL,Steve Blake,31,53,1237,8.5
3149,2012,BOS,Mickael Pietrus,29,42,921,8.5
3150,2012,HOU,Courtney Fortson,23,6,49,8.5
3151,2013,BRK,Jerry Stackhouse,38,37,544,8.5
3152,2013,BRK,Tornike Shengelia,21,19,93,8.5
3153,2013,MIA,Josh Harrellson,23,6,31,8.5
3154,2013,ATL,Jeremy Tyler,21,1,5,8.5
3155,2014,IND,Donald Sloan,26,48,392,8.5
3156,2014,DAL,Bernard James,28,30,146,8.5
3157,2015,CLE,Matthew Dellavedova,24,67,1380,8.5
3158,2015,NYK,Travis Wear,24,51,672,8.5
3159,2015,BOS,James Young,19,31,332,8.5
3160,2015,LAC,C.J. Wilcox,24,21,101,8.5
3161,2015,BRK,Brandon Davies,23,7,44,8.5
3162,2015,CLE,Alex Kirk,23,5,14,8.5
3163,2016,CHI,Joakim Noah,30,7,144,8.5
3164,2016,SAS,Kyle Anderson,22,7,58,8.5
3165,1978,NJN,Tim Bassett,26,65,1474,8.6
3166,1980,UTA,Duck Williams,23,77,1794,8.6
3167,1981,MIL,Len Elmore,28,72,925,8.6
3168,1982,WSB,Jim Chones,32,59,867,8.6
3169,1983,PHO,Johnny High,25,82,1155,8.6
3170,1983,BOS,Rick Robey,27,59,855,8.6
3171,1983,NJN,Jan Van Breda Kolff,31,13,63,8.6
3172,1984,DET,Earl Cureton,26,73,907,8.6
3173,1984,WSB,Mike Gibson,23,32,229,8.6
3174,1984,GSW,Ron Brewer,28,13,210,8.6
3175,1985,KCK,Pete Verhoeven,25,54,366,8.6
3176,1986,PHI,Perry Moss,27,60,852,8.6
3177,1987,IND,Greg Dreiling,24,24,128,8.6
3178,1988,UTA,Marc Iavaroni,31,81,1238,8.6
3179,1988,POR,Jim Paxson,30,17,263,8.6
3180,1989,DAL,Herb Williams,30,30,903,8.6
3181,1989,DEN,Bill Hanzlik,31,41,701,8.6
3182,1990,UTA,Delaney Rudd,27,77,850,8.6
3183,1991,UTA,Darrell Griffith,32,75,1005,8.6
3184,1991,HOU,Adrian Caldwell,24,42,343,8.6
3185,1991,PHO,Joe Barry Carroll,32,11,96,8.6
3186,1991,CHH,Jeff Sanders,25,3,43,8.6
3187,1992,LAC,LeRon Ellis,22,29,103,8.6
3188,1992,ATL,Travis Mays,23,2,32,8.6
3189,1993,DEN,Gary Plummer,30,60,737,8.6
3190,1993,ORL,Steve Kerr,27,47,440,8.6
3191,1993,PHO,Tim Kempton,29,30,167,8.6
3192,1996,SEA,Frank Brickowski,36,63,986,8.6
3193,1996,SAS,J.R. Reid,27,32,643,8.6
3194,1997,ATL,Willie Burton,28,24,380,8.6
3195,1998,SAC,Anthony Johnson,23,77,2266,8.6
3196,1998,SEA,David Wingate,34,58,546,8.6
3197,1998,PHO,Horacio Llamas Grey,24,8,42,8.6
3198,2000,NYK,Chris Childs,32,71,1675,8.6
3199,2000,DET,Michael Curry,31,82,1611,8.6
3200,2000,VAN,Doug West,32,38,581,8.6
3201,2002,MIL,Ervin Johnson,34,81,1660,8.6
3202,2002,PHI,Raja Bell,25,74,890,8.6
3203,2002,CHI,Dalibor Bagaric,21,50,638,8.6
3204,2002,TOR,Michael Stewart,26,11,93,8.6
3205,2002,BOS,Randy Brown,33,1,6,8.6
3206,2004,CLE,Dajuan Wagner,20,44,708,8.6
3207,2005,NJN,Jason Collins,26,80,2542,8.6
3208,2005,ORL,Tony Battie,28,81,1894,8.6
3209,2005,CLE,Ira Newble,30,74,1832,8.6
3210,2005,WAS,Michael Ruffin,28,79,1262,8.6
3211,2005,UTA,Kirk Snyder,21,68,906,8.6
3212,2005,DET,Carlos Delfino,22,30,459,8.6
3213,2005,NOH,Corsley Edwards,25,10,110,8.6
3214,2006,UTA,Keith McLeod,26,66,1232,8.6
3215,2006,MIN,Michael Olowokandi,30,32,752,8.6
3216,2006,SEA,Mikki Moore,30,47,583,8.6
3217,2006,PHI,Willie Green,24,10,153,8.6
3218,2007,CLE,Eric Snow,33,82,1929,8.6
3219,2007,BOS,Sebastian Telfair,21,78,1578,8.6
3220,2007,NYK,Jared Jeffries,25,55,1307,8.6
3221,2007,MEM,Eddie Jones,35,29,561,8.6
3222,2007,UTA,Dee Brown,22,49,450,8.6
3223,2008,IND,David Harrison,25,55,702,8.6
3224,2008,ATL,Mario West,23,64,269,8.6
3225,2008,DEN,Steven Hunter,26,19,120,8.6
3226,2008,ORL,Bo Outlaw,36,2,7,8.6
3227,2009,DAL,Antoine Wright,24,65,1552,8.6
3228,2009,CLE,Sasha Pavlovic,25,66,1053,8.6
3229,2009,SAC,Mikki Moore,33,46,746,8.6
3230,2010,TOR,Antoine Wright,25,67,1392,8.6
3231,2010,HOU,Garrett Temple,23,9,118,8.6
3232,2011,MIN,Wayne Ellington,23,62,1181,8.6
3233,2011,ORL,Gilbert Arenas,29,49,1070,8.6
